title,address,latitude,longitude
씨유제주탑동,제주특별자치도 제주시 중앙로8길 5,3963823.285,14084607.73
씨유제주칠성로점,제주특별자치도 제주시 관덕로11길 8-3,3963723.417,14084779.28
레몬비제주중앙지하,제주특별자치도 제주시 중앙로 60,3963615.832,14084663.39
세븐일레븐제주칠성로점,제주특별자치도 제주시 관덕로15길 22,3963890.263,14084914.71
세븐일레븐제주신산로점,제주특별자치도 제주시 신산로 4,3963578.738,14085439.09
씨유제주동문,제주특별자치도 제주시 동문로 8,3963581.68,14084969.39
지에스25제주,제주특별자치도 제주시 중앙로 62,3963549.367,14084645.16
탑편의점,제주특별자치도 제주시 관덕로11길 17,3963815.317,14084724.06
세븐일레븐제주동문,제주특별자치도 제주시 동문로4길 24,3963469.935,14084899.08
지에스25제주동문,제주특별자치도 제주시 동문로6길 9,3963474.639,14085144.63
굿마트,제주특별자치도 제주시 동문로10길 1,3963585.67,14085418.63
씨유제주,제주특별자치도 제주시 신산로 16,3963448.489,14085421.76
GS25일도,제주특별자치도 제주시 태성로 20,3962016.354,14087309.54
지에스25제주인화점,제주특별자치도 제주시 동광로 113,3962745.535,14086270.28
세븐일레븐제주일도,제주특별자치도 제주시 삼성로 59,3962899.836,14085437.87
세븐일레븐제주,제주특별자치도 제주시 삼성로 114,3963249.569,14085993.65
씨유제주우성아파트점,제주특별자치도 제주시 태성로 3,3962133.6,14087345.05
세븐일레븐제주일도,제주특별자치도 제주시 동광로19길 55,3963616.681,14086417.42
GS25제주인제점,제주특별자치도 제주시 고마로 67,3962974.776,14086394.06
세븐일레븐제주일도,제주특별자치도 제주시 고마로 37-1,3963295.624,14086270.96
지에스25제주동광점,제주특별자치도 제주시 연신로 15,3961807.448,14086918.33
씨유제주서해점,제주특별자치도 제주시 고마로 101,3962580.749,14086533.76
지에스25일도,제주특별자치도 제주시 태성로 20,3962016.354,14087309.54
세븐일레븐제주삼성,제주특별자치도 제주시 신산로 36,3963216.243,14085511.29
씨유제주일도,제주특별자치도 제주시 동광로17길 36,3963164.854,14086216.48
지에스25일도연수중길점,제주특별자치도 제주시 연수중길 16,3962304.119,14086974.89
씨유제주일도,제주특별자치도 제주시 고마로 60,3963038.695,14086317.69
세븐일레븐제주인화로점,제주특별자치도 제주시 동광로21길 6,3963185.304,14086641.51
GS25제주상품권,제주특별자치도 제주시 고마로 127,3962315.187,14086650.08
씨제이올리브영제주일도,제주특별자치도 제주시 고마로15길 14,3962845.972,14086563.59
GS25제주,제주특별자치도 제주시 고마로 127,3962315.187,14086650.08
GS25제주동교점,제주특별자치도 제주시 동문로 68,3963644.962,14085694.56
지에스25제주고마로점,제주특별자치도 제주시 고마로 65-1,3962987.963,14086390.28
씨유제주대유,제주특별자치도 제주시 남광로 181,3962277.745,14087667.7
지에스25제주,제주특별자치도 제주시 고마로 16,3963509.267,14086142.16
씨유제주인화,제주특별자치도 제주시 동광로15길 8,3962691.483,14086108.11
