id,title,coursetype,distance,time,summary,content,latitude,longitude,address,openTime,tel,courseTag1,courseTag2,courseTag3,courseTag4
1,제주올레길 1코스(시흥-광치기 올레),제주올레,15.1,4~5시간,"제주 성산읍에서 광치기 해변까지 이어지는 평탄한 올레길로, 오름과 바다의 아름다움을 만끽할 수 있는 코스예요.","서귀포시 성산읍 시흥초등학교에서 종달리 옛소금밭을 거쳐 광치기 해변까지 이어지는 구간이에요. 코스 초반에 두 개의 오름이 있지만, 전체적으로는 평탄해서 걷기 편리해요. 이 올레길은 제주도에서 가장 먼저 열린 길로, '오름-바당 올레'라는 별칭으로도 불려요. 성산 일출봉과 우도, 그리고 조각보를 펼쳐놓은 듯한 들판과 바다가 어우러진 경관은 특히 말미오름과 알오름에서 한눈에 들어와요. 종달리 소금밭과 시흥리 해안도로를 지나다 보면 성산일출봉도 볼 수 있어요. 이곳을 방문할 때는 시외버스 111번이나 101번을 타고 시흥리 정류장에서 내려 약 155m 정도 도보로 이동하면 돼요. 스탬프 투어를 즐긴다면, 말미오름 입구와 목화휴게소 옆 광치기 해변에서 스탬프를 찍을 수 있어요. 여행 중 종달리와 성산 해안도로에는 맛집도 많아, 특히 해녀의집에서 파는 조개죽과 전복죽이 인기가 많답니다.",33.474661,126.885997,서귀포시 성산읍 시흥리 2665-1,"08:30 ~ 17:00(점심시간 : 12:00~13:00) 명절 설, 추석 당일 휴무",070-4152-1750,비순환형,바다,난이도 중,
2,제주올레길 1-1코스(우도 올레),제주올레,11.2,5시간,"제주 올레길 1-1코스 우도 올레는 우도의 절경을 감상할 수 있는 평탄한 코스이며, 홍조단괴 백사장과 다양한 관광 명소가 특징이에요.","우도의 아름다움을 제대로 만끽할 수 있는 코스예요. 우도는 제주도에 속한 섬 중 가장 큰 섬으로, 이 코스는 특별한 굴곡 없이 평탄해 걷기에 무리가 없지만, 도로를 공유하는 차와 스쿠터에 주의해야 해요. 우도의 볼거리 중 하나는 한국에서 유일하게 빨간 머리 앤 전시관이 있는 '우도 빨간 머리 앤의 집'이에요. 프린스 에드워드 섬의 캐번디시 우체국을 떠올리게 하는 이곳은 독특한 매력을 선사해요. 또 하나의 매력적인 장소는 에메랄드빛 물결이 밀려오는 홍조단괴 백사장, 우도 산호 해변이에요. 이곳의 해변은 빛에 따라 하얀색에서 푸른빛으로 변해 보는 이의 감탄을 자아내요. 또한 하고수동해변은 '사이판 해변'이라 불리며, 맑은 물과 고운 모래로 유명해요. 여행을 계획한다면, 성산 여객터미널에서 우도행 배를 타고 쉽게 접근할 수 있고, 코스 중간중간에 매점과 화장실도 있어 여행의 불편함을 덜 수 있어요.",,,,,,순환형,바다,난이도 중,
3,제주올레길 2코스(광치기-온평 올레),제주올레,15.6,4~5시간,"광치기 해변에서 온평리 바다까지 이어지는 제주 트래킹 코스는 다양한 자연 경관과 전통 혼례 체험, 아쿠아플라넷을 감상할 수 있는 코스예요.","광치기 해변에서 시작해 고성, 대수산봉, 혼인지, 그리고 온평리 바다까지 이어지는 트래킹 코스로, 제주의 다양한 자연을 감상할 수 있어요. 푸른빛의 아름다운 바닷길을 따라 걸으며, 잔잔한 저수지와 호젓한 산길을 경험할 수 있는 이 코스는 매 단계마다 새로운 매력을 선사해요. 특히 혼인지 마을에서는 전통혼례 체험을 할 수 있어 문화적 경험까지 더해져요. 또한, 국내 최대의 아쿠아리움인 '아쿠아플라넷 제주'가 이 코스의 또 다른 명소로 자리하고 있어요. 대수산봉 정상에 오르면 제주 동부의 탁 트인 풍광이 한눈에 들어와 숨이 멎을 듯한 경관을 선사하죠. 여행을 시작하기 전에 제주 서귀포 시외버스터미널에서 동회선 일주도로를 경유해 성산일출봉 방향으로 10분만 이동하면 시작점에 도착할 수 있어요. 다만, 중산간길로 접어들면 상점이 없으니 온평리까지 필요한 물품을 미리 준비하는 것이 좋아요.",,,,,,비순환형,바다,난이도 중,
4,제주올레길 3코스(온평-표선 올레),제주올레,20.9,6~7시간,"중산간의 고즈넉함과 바다목장의 경관을 만끽할 수 있는 바다 올레길로, 김영갑갤러리와 일출랜드 등 다양한 관광 명소가 있어요.","중산간 길의 고즈넉함과 바다목장의 아름다운 경관을 감상할 수 있는 제주 올레길 중 하나예요. 동백나무길과 감귤밭길을 지나며 삼달리 중산간길의 싱그러움을 느낄 수 있고, 사진작가 고 김영갑 씨의 작품을 만날 수 있는 김영갑갤러리 두모악도 이 코스의 매력 포인트 중 하나예요. 자연과 예술이 어우러진 이 길은 도시 속에서 쉽게 접할 수 없는 평화와 고요를 선사해요. 특히 '일출랜드'는 새로운 태양이 떠오르는 모습을 감상하며 휴식할 수 있는 곳으로, 자연의 미를 충분히 만끽할 수 있는 장소예요. 이 외에도 제주 화석박물관은 체험 프로그램을 운영하고 있어 여행 중 체험적인 요소도 즐길 수 있답니다. 여행을 시작할 때는 제주 서귀포 시외버스터미널에서 성산을 경유하는 버스를 타고 온평리에서 하차한 후 10분 정도 걸으면 코스에 진입할 수 있어요. 다만 화장실은 중간지점과 끝지점에만 있으니 참고하시고, 매점도 두 곳만 있으니 식음료는 미리 준비하는 것이 좋아요.",,,,,,비순환형,바다,난이도 상,
5,제주올레길 4코스(표선-남원 올레),제주올레,19,5~6시간,표선해수욕장에서 남원포구까지 이어지는 이 코스는 해안 절경과 해녀의 삶을 엿볼 수 있는 가마리 해녀올레가 주요 포인트예요.,"서귀포시 표선해수욕장에서 출발해 신흥리 포구를 지나 남원포구까지 이어지는 해안 트레킹 코스예요. 백사장에서 시작해 절벽이 아름다운 해안 도로를 따라 걷는 동안, 제주의 청정 자연을 마음껏 감상할 수 있어요. 이 코스에서 꼭 들러야 할 곳 중 하나는 '가마리 해녀올레'로, 세계 최초의 전문직 여성으로 불리는 제주 해녀들의 삶을 엿볼 수 있는 특별한 체험을 제공해요. 또한, 35년 만에 복구된 '가는개'로 이어지는 숲길도 인상적이에요. 이외에도 표선해수욕장에는 공식 안내소가 있어 여행자들이 쉽게 정보를 얻을 수 있어요. 스탬프 투어를 계획하고 있다면, 표선해수욕장과 토산2리 마을회관, 남원포구에서 스탬프를 찍을 수 있어요. 이 코스는 시작점과 후반부를 제외하면 식당이 거의 없으므로 도시락이나 먹을거리를 미리 준비하는 것이 중요해요. 이동은 제주 시외버스 121, 122, 221, 222번을 이용해 표선제주민속촌에서 하차한 후 100m 정도 걸으면 됩니다.",33.324809,126.841226,서귀포시 표선면 표선리 40,"08:30 ~ 17:00(점심시간 : 12:00~13:00) 명절 설, 추석 당일 휴무",070-4152-1751,비순환형,바다,난이도 상,
6,제주올레길 5코스(남원-쇠소깍 올레),제주올레,13.4,4~5시간,"남원포구에서 쇠소깍까지 이어지는 제주 올레길 5코스는 평탄하지만 바위길이 있으며, 바다와 마을 풍경이 어우러진 동백나무 군락지가 인상적이에요.","남원포구에서 시작해 위미 1리 복지회관을 거쳐 쇠소깍 다리까지 이어지는 구간이에요. 전체적으로 평탄한 길이지만, 중간에 험한 바위길도 포함되어 있어 다소 주의가 필요해요. 이 코스는 바다와 마을 풍경을 함께 감상할 수 있어 걷는 내내 제주의 정취를 느낄 수 있답니다. 특히, 동백나무 군락지가 울창한 마을 올레길은 자연의 멋스러움을 더해주며, 일출봉이 아스라이 보이는 남원포구와 아름다운 해안 산책로로 손꼽히는 큰엉 경승지, 그리고 민물과 바닷물이 만나는 쇠소깍 등 다양한 매력을 가진 코스예요. 또한, 난대 식물이 울창한 숲을 지나 바다로 나가는 독특한 경험도 이 코스만의 특별함을 더해줘요. 여행을 시작하려면 제주 시외버스 131, 132번을 타고 남원포구 입구 정류장에서 내려 300m 정도 도보로 이동하면 돼요. 코스 중간에 위미항 조베머들 코지에서는 신선한 해산물을 맛볼 수 있으니 놓치지 말고 들러보세요. 안내소에서 제공하는 간세와 리본 표식을 따라가면 쉽게 길을 찾을 수 있어 헤매지 않고 즐길 수 있답니다.",33.277849,126.719637,서귀포시 남원읍 남태해안로 140,"08:30 ~ 17:00(점심시간 : 12:00~13:00) 명절 설, 추석 당일 휴무",070-4152-1752,비순환형,바다,난이도 중,
7,제주올레길 6코스(쇠소깍-외돌개 올레),제주올레,11,3~4시간,"쇠소깍에서 외돌개까지 이어지는 제주 올레 6코스는 서귀포 시내를 지나는 평탄한 해안·도심 올레길로, 예술과 역사를 만날 수 있어요.","쇠소깍에서 외돌개까지 이어지는 해안과 도심을 연결하는 올레길이에요. 서귀포 시내를 지나며, 비교적 평탄하고 걷기 쉬운 코스로 알려져 있어요. 이 코스의 매력은 삶과 예술이 어우러진 다양한 볼거리를 제공한다는 점이에요. 특히 '이중섭 미술관'은 이중섭의 원화 작품을 비롯해 우리나라 근현대 화가들의 작품들을 감상할 수 있는 곳으로, 예술을 좋아하는 분들께는 빼놓을 수 없는 장소예요. 또한, '서복전시관'은 중국과 일본의 역사를 잇는 구비 문화유적지로, 그 자원적 가치가 높아 역사를 탐방하는 재미도 느낄 수 있어요. 이외에도 해안절벽의 웅장함과 떠 있는 섬들의 아름다움이 더해진 서귀포해양도립공원은 코스의 자연미를 한층 더해주는 포인트랍니다. 여행을 시작하려면 제주 국제공항에서 서귀포행 리무진을 타고 서귀포 KAL호텔에서 하차 후 택시로 쇠소깍까지 이동하면 되고, 서귀포 시내 버스를 이용해 효돈에서 내려 도보로 접근할 수도 있어요. 화장실과 매점은 코스 중간마다 위치해 있어 편리하게 이용할 수 있어요.",,,,,,비순환형,바다,난이도 하,
8,제주올레길 7코스(외돌개-월평 올레),제주올레,17.6,5시간,서귀포시 중정로에서 월평 아왜낭목 쉼터까지 이어지는 이 코스는 자연 생태길인 수봉로와 험한 바윗길인 강정바당 올레가 특징이에요.,"서귀포시 중정로의 제주올레 여행자센터에서 시작해 삼매봉 팔각정을 지나 서건도 앞을 거쳐 월평 아왜낭목 쉼터까지 이어지는 구간이에요. 수봉로는 올레인들이 가장 사랑하는 자연 생태길로, 걷는 내내 자연의 싱그러움을 느낄 수 있는 곳이에요. 다만, 수봉로는 언덕 길이기 때문에 약간의 오르막을 각오해야 하고, 강정바당 올레와 서건도 사이에는 바윗길이 있어 조금 험난한 편이에요. 새로운 바닷길로 탄생한 '일강정 바당올레'는 이 코스의 특별한 매력이에요. 또, 자연현상으로 유실되었던 수봉교 자리에 새롭게 세워진 '풍림올레교'를 지나면, 제주의 자연과 사람의 손길이 함께하는 아름다움을 느낄 수 있어요. 코스를 시작하려면 제주 시외버스 281번을 타고 중앙로터리에서 내려 여행자센터까지 약 800m를 도보로 이동하면 돼요. 중간에 법환포구와 마을에서 식사를 할 수 있고, 스탬프 투어를 계획 중이라면 올레요 7쉼터와 아왜낭목 쉼터에서 스탬프를 찍을 수 있어요.",33.247404,126.558741,서귀포시 중정로 22,"08:00~22:00, 연중 무휴",064-762-2167,비순환형,바다,난이도 중,
9,제주올레길 7-1코스(월드컵경기장-외돌개 올레),제주올레,15.7,5시간,"기암절벽과 엉또폭포, 하논 분화구 등을 지나 외돌개까지 이어지는 코스로, 서귀포 중산간의 풍경과 고근산 억새를 만끽할 수 있어요.","기암절벽과 천연 난대림, 그리고 엉또폭포와 같은 독특한 지형을 따라 걷는 여정이에요. 서귀포 중산간의 정취를 느낄 수 있는 이 코스는 비교적 높은 고근산을 오르며, 그곳에서 억새밭의 아름다움을 감상할 수 있어요. 특히 하논 분화구는 제주에서 보기 드문 논농사 지역으로, 독특한 자연경관을 제공합니다. 또한, 이 코스를 따라 제주 세계성문화박물관에 들러 2천여 점의 성 유물과 예술 작품을 감상할 수 있어 문화적인 즐거움도 느낄 수 있답니다. 고근산의 정상에 오르면, 서귀포시 신시가지를 감싸는 기생화산의 웅장함과 원형 분화구를 마주할 수 있어요. 여행을 계획 중이라면 서귀포시 중앙로터리로 시내버스를 이용해 이동할 수 있고, 그곳에서 고속화 버스를 타고 서귀포 시내로 쉽게 돌아갈 수 있어요. 시내버스정류장에서 각 행선지별 시간표도 확인할 수 있어 편리하게 이동할 수 있답니다.",33.248824,126.508169,서귀포시 일주동로 9217,"08:30 ~ 17:00(점심시간 : 12:00~13:00) 명절 설, 추석 당일 휴무",070-4152-1753,비순환형,산,난이도 중,
10,제주올레길 8코스(월평-대평 올레),제주올레,19.6,6~7시간,"월평마을에서 대평포구까지 이어지는 바닷가 코스는 주상절리와 억새가 아름답고, 대한민국 해안누리길로 선정된 인기 있는 올레길이에요.","월평마을에서 시작해 박수기정 아래 대평포구로 이어지는 이 코스는 제주의 해안 절경을 만끽할 수 있는 바닷가 길이에요. 특히, 주상절리와 가을이면 흐드러지게 피어나는 억새가 어우러진 열리 해안길은 많은 올레꾼들에게 사랑받고 있답니다. 이 코스는 2010년 해양수산부와 한국해양재단이 선정한 '대한민국 해안누리길' 중 하나로, 자연의 아름다움과 함께 다양한 문화 체험을 즐길 수 있어요. 중간에 '박물관은 살아있다'라는 착시체험 테마파크에서 독특한 체험을 할 수 있고, 아프리카 박물관에서는 아프리카 대륙의 문화적 정통성을 느낄 수 있어 색다른 여행의 즐거움을 더해줍니다. 또한, 예래마을은 빼어난 자연경관과 함께 다양한 문화 유적지가 곳곳에 분포되어 있어 걷는 내내 볼거리가 끊이지 않아요. 여행을 계획한다면 제주 국제공항에서 서귀포행 리무진 버스를 타고 약천사에서 하차 후 도보로 10분만 걸으면 월평마을에 도착할 수 있어요. 코스 중간중간에는 화장실과 매점이 있어 편리하게 이용할 수 있답니다.",,,,,,비순환형,바다,난이도 중,
